"lon","lat","latlon"
-72.25,42.75,"lat42.75lon-72.25"
-68.75,45.25,"lat45.25lon-68.75"
-89.75,46.25,"lat46.25lon-89.75"
-94.75,46.25,"lat46.25lon-94.75"
-95.25,47.25,"lat47.25lon-95.25"
-82.75,43.75,"lat43.75lon-82.75"
-97.25,37.75,"lat37.75lon-97.25"
-87.25,37.75,"lat37.75lon-87.25"
-77.25,37.75,"lat37.75lon-77.25"
-97.25,47.75,"lat47.75lon-97.25"
-77.25,47.75,"lat47.75lon-77.25"
-67.25,47.75,"lat47.75lon-67.25"
-92.25,42.75,"lat42.75lon-92.25"
-82.25,42.75,"lat42.75lon-82.25"
-92.25,37.75,"lat37.75lon-92.25"
-82.25,37.75,"lat37.75lon-82.25"
-97.25,42.75,"lat42.75lon-97.25"
-77.25,42.75,"lat42.75lon-77.25"
-92.25,47.75,"lat47.75lon-92.25"
-82.25,47.75,"lat47.75lon-82.25"
-72.25,47.75,"lat47.75lon-72.25"
-99.75,35.25,"lat35.25lon-99.75"
-94.75,35.25,"lat35.25lon-94.75"
-89.75,35.25,"lat35.25lon-89.75"
-84.75,35.25,"lat35.25lon-84.75"
-79.75,35.25,"lat35.25lon-79.75"
-99.75,40.25,"lat40.25lon-99.75"
-94.75,40.25,"lat40.25lon-94.75"
-89.75,40.25,"lat40.25lon-89.75"
-84.75,40.25,"lat40.25lon-84.75"
-79.75,40.25,"lat40.25lon-79.75"
-74.75,40.25,"lat40.25lon-74.75"
-99.75,45.25,"lat45.25lon-99.75"
-94.75,45.25,"lat45.25lon-94.75"
-89.75,45.25,"lat45.25lon-89.75"
-84.75,45.25,"lat45.25lon-84.75"
-79.75,45.25,"lat45.25lon-79.75"
-74.75,45.25,"lat45.25lon-74.75"
-69.75,45.25,"lat45.25lon-69.75"
-64.75,45.25,"lat45.25lon-64.75"
-97.25,35.25,"lat35.25lon-97.25"
-92.25,35.25,"lat35.25lon-92.25"
-87.25,35.25,"lat35.25lon-87.25"
-82.25,35.25,"lat35.25lon-82.25"
-77.25,35.25,"lat35.25lon-77.25"
-99.75,37.75,"lat37.75lon-99.75"
-94.75,37.75,"lat37.75lon-94.75"
-89.75,37.75,"lat37.75lon-89.75"
-84.75,37.75,"lat37.75lon-84.75"
-79.75,37.75,"lat37.75lon-79.75"
-97.25,40.25,"lat40.25lon-97.25"
-92.25,40.25,"lat40.25lon-92.25"
-87.25,40.25,"lat40.25lon-87.25"
-82.25,40.25,"lat40.25lon-82.25"
-77.25,40.25,"lat40.25lon-77.25"
-99.75,42.75,"lat42.75lon-99.75"
-94.75,42.75,"lat42.75lon-94.75"
-89.75,42.75,"lat42.75lon-89.75"
-84.75,42.75,"lat42.75lon-84.75"
-74.75,42.75,"lat42.75lon-74.75"
-97.25,45.25,"lat45.25lon-97.25"
-92.25,45.25,"lat45.25lon-92.25"
-77.25,45.25,"lat45.25lon-77.25"
-72.25,45.25,"lat45.25lon-72.25"
-67.25,45.25,"lat45.25lon-67.25"
-99.75,47.75,"lat47.75lon-99.75"
-94.75,47.75,"lat47.75lon-94.75"
-84.75,47.75,"lat47.75lon-84.75"
-79.75,47.75,"lat47.75lon-79.75"
-74.75,47.75,"lat47.75lon-74.75"
-69.75,47.75,"lat47.75lon-69.75"
-98.25,36.75,"lat36.75lon-98.25"
-96.75,36.75,"lat36.75lon-96.75"
-95.25,36.75,"lat36.75lon-95.25"
-93.75,36.75,"lat36.75lon-93.75"
-90.75,36.75,"lat36.75lon-90.75"
-89.25,36.75,"lat36.75lon-89.25"
-87.75,36.75,"lat36.75lon-87.75"
-86.25,36.75,"lat36.75lon-86.25"
-83.25,36.75,"lat36.75lon-83.25"
-81.75,36.75,"lat36.75lon-81.75"
-80.25,36.75,"lat36.75lon-80.25"
-78.75,36.75,"lat36.75lon-78.75"
-98.25,38.25,"lat38.25lon-98.25"
-96.75,38.25,"lat38.25lon-96.75"
-95.25,38.25,"lat38.25lon-95.25"
-93.75,38.25,"lat38.25lon-93.75"
-90.75,38.25,"lat38.25lon-90.75"
-89.25,38.25,"lat38.25lon-89.25"
-87.75,38.25,"lat38.25lon-87.75"
-86.25,38.25,"lat38.25lon-86.25"
-83.25,38.25,"lat38.25lon-83.25"
-81.75,38.25,"lat38.25lon-81.75"
-80.25,38.25,"lat38.25lon-80.25"
-78.75,38.25,"lat38.25lon-78.75"
-75.75,38.25,"lat38.25lon-75.75"
-98.25,39.75,"lat39.75lon-98.25"
-96.75,39.75,"lat39.75lon-96.75"
-95.25,39.75,"lat39.75lon-95.25"
-93.75,39.75,"lat39.75lon-93.75"
-90.75,39.75,"lat39.75lon-90.75"
-89.25,39.75,"lat39.75lon-89.25"
-87.75,39.75,"lat39.75lon-87.75"
-86.25,39.75,"lat39.75lon-86.25"
-83.25,39.75,"lat39.75lon-83.25"
-81.75,39.75,"lat39.75lon-81.75"
-80.25,39.75,"lat39.75lon-80.25"
-78.75,39.75,"lat39.75lon-78.75"
-75.75,39.75,"lat39.75lon-75.75"
-98.25,41.25,"lat41.25lon-98.25"
-96.75,41.25,"lat41.25lon-96.75"
-95.25,41.25,"lat41.25lon-95.25"
-93.75,41.25,"lat41.25lon-93.75"
-90.75,41.25,"lat41.25lon-90.75"
-89.25,41.25,"lat41.25lon-89.25"
-87.75,41.25,"lat41.25lon-87.75"
-86.25,41.25,"lat41.25lon-86.25"
-83.25,41.25,"lat41.25lon-83.25"
-81.75,41.25,"lat41.25lon-81.75"
-80.25,41.25,"lat41.25lon-80.25"
-78.75,41.25,"lat41.25lon-78.75"
-75.75,41.25,"lat41.25lon-75.75"
-74.25,41.25,"lat41.25lon-74.25"
-98.25,44.25,"lat44.25lon-98.25"
-96.75,44.25,"lat44.25lon-96.75"
-95.25,44.25,"lat44.25lon-95.25"
-93.75,44.25,"lat44.25lon-93.75"
-90.75,44.25,"lat44.25lon-90.75"
-89.25,44.25,"lat44.25lon-89.25"
-87.75,44.25,"lat44.25lon-87.75"
-86.25,44.25,"lat44.25lon-86.25"
-80.25,44.25,"lat44.25lon-80.25"
-75.75,44.25,"lat44.25lon-75.75"
-74.25,44.25,"lat44.25lon-74.25"
-72.75,44.25,"lat44.25lon-72.75"
-71.25,44.25,"lat44.25lon-71.25"
-65.25,44.25,"lat44.25lon-65.25"
-98.25,45.75,"lat45.75lon-98.25"
-96.75,45.75,"lat45.75lon-96.75"
-95.25,45.75,"lat45.75lon-95.25"
-93.75,45.75,"lat45.75lon-93.75"
-90.75,45.75,"lat45.75lon-90.75"
-89.25,45.75,"lat45.75lon-89.25"
-87.75,45.75,"lat45.75lon-87.75"
-78.75,45.75,"lat45.75lon-78.75"
-75.75,45.75,"lat45.75lon-75.75"
-74.25,45.75,"lat45.75lon-74.25"
-72.75,45.75,"lat45.75lon-72.75"
-71.25,45.75,"lat45.75lon-71.25"
-68.25,45.75,"lat45.75lon-68.25"
-66.75,45.75,"lat45.75lon-66.75"
-63.75,45.75,"lat45.75lon-63.75"
-62.25,45.75,"lat45.75lon-62.25"
-98.25,47.25,"lat47.25lon-98.25"
-96.75,47.25,"lat47.25lon-96.75"
-93.75,47.25,"lat47.25lon-93.75"
-83.25,47.25,"lat47.25lon-83.25"
-81.75,47.25,"lat47.25lon-81.75"
-80.25,47.25,"lat47.25lon-80.25"
-78.75,47.25,"lat47.25lon-78.75"
-75.75,47.25,"lat47.25lon-75.75"
-74.25,47.25,"lat47.25lon-74.25"
-72.75,47.25,"lat47.25lon-72.75"
-71.25,47.25,"lat47.25lon-71.25"
-68.25,47.25,"lat47.25lon-68.25"
-66.75,47.25,"lat47.25lon-66.75"
-65.25,47.25,"lat47.25lon-65.25"
-98.25,48.75,"lat48.75lon-98.25"
-96.75,48.75,"lat48.75lon-96.75"
-95.25,48.75,"lat48.75lon-95.25"
-93.75,48.75,"lat48.75lon-93.75"
-90.75,48.75,"lat48.75lon-90.75"
-89.25,48.75,"lat48.75lon-89.25"
-83.25,48.75,"lat48.75lon-83.25"
-81.75,48.75,"lat48.75lon-81.75"
-80.25,48.75,"lat48.75lon-80.25"
-78.75,48.75,"lat48.75lon-78.75"
-75.75,48.75,"lat48.75lon-75.75"
-74.25,48.75,"lat48.75lon-74.25"
-72.75,48.75,"lat48.75lon-72.75"
-71.25,48.75,"lat48.75lon-71.25"
-66.75,48.75,"lat48.75lon-66.75"
-65.25,48.75,"lat48.75lon-65.25"
-98.25,35.25,"lat35.25lon-98.25"
-96.75,35.25,"lat35.25lon-96.75"
-95.25,35.25,"lat35.25lon-95.25"
-93.75,35.25,"lat35.25lon-93.75"
-90.75,35.25,"lat35.25lon-90.75"
-89.25,35.25,"lat35.25lon-89.25"
-87.75,35.25,"lat35.25lon-87.75"
-86.25,35.25,"lat35.25lon-86.25"
-83.25,35.25,"lat35.25lon-83.25"
-81.75,35.25,"lat35.25lon-81.75"
-80.25,35.25,"lat35.25lon-80.25"
-78.75,35.25,"lat35.25lon-78.75"
-99.75,36.75,"lat36.75lon-99.75"
-92.25,36.75,"lat36.75lon-92.25"
-84.75,36.75,"lat36.75lon-84.75"
-77.25,36.75,"lat36.75lon-77.25"
-99.75,38.25,"lat38.25lon-99.75"
-92.25,38.25,"lat38.25lon-92.25"
-84.75,38.25,"lat38.25lon-84.75"
-77.25,38.25,"lat38.25lon-77.25"
-99.75,39.75,"lat39.75lon-99.75"
-92.25,39.75,"lat39.75lon-92.25"
-84.75,39.75,"lat39.75lon-84.75"
-77.25,39.75,"lat39.75lon-77.25"
-99.75,41.25,"lat41.25lon-99.75"
-92.25,41.25,"lat41.25lon-92.25"
-84.75,41.25,"lat41.25lon-84.75"
-77.25,41.25,"lat41.25lon-77.25"
-98.25,42.75,"lat42.75lon-98.25"
-96.75,42.75,"lat42.75lon-96.75"
-95.25,42.75,"lat42.75lon-95.25"
-93.75,42.75,"lat42.75lon-93.75"
-90.75,42.75,"lat42.75lon-90.75"
-89.25,42.75,"lat42.75lon-89.25"
-87.75,42.75,"lat42.75lon-87.75"
-86.25,42.75,"lat42.75lon-86.25"
-83.25,42.75,"lat42.75lon-83.25"
-78.75,42.75,"lat42.75lon-78.75"
-75.75,42.75,"lat42.75lon-75.75"
-74.25,42.75,"lat42.75lon-74.25"
-72.75,42.75,"lat42.75lon-72.75"
-71.25,42.75,"lat42.75lon-71.25"
-99.75,44.25,"lat44.25lon-99.75"
-92.25,44.25,"lat44.25lon-92.25"
-84.75,44.25,"lat44.25lon-84.75"
-99.75,45.75,"lat45.75lon-99.75"
-92.25,45.75,"lat45.75lon-92.25"
-77.25,45.75,"lat45.75lon-77.25"
-69.75,45.75,"lat45.75lon-69.75"
-99.75,47.25,"lat47.25lon-99.75"
-92.25,47.25,"lat47.25lon-92.25"
-77.25,47.25,"lat47.25lon-77.25"
-69.75,47.25,"lat47.25lon-69.75"
-99.75,48.75,"lat48.75lon-99.75"
-92.25,48.75,"lat48.75lon-92.25"
-84.75,48.75,"lat48.75lon-84.75"
-77.25,48.75,"lat48.75lon-77.25"
-69.75,48.75,"lat48.75lon-69.75"
-99.25,35.75,"lat35.75lon-99.25"
-96.25,35.75,"lat35.75lon-96.25"
-94.25,35.75,"lat35.75lon-94.25"
-93.25,35.75,"lat35.75lon-93.25"
-91.25,35.75,"lat35.75lon-91.25"
-90.25,35.75,"lat35.75lon-90.25"
-88.25,35.75,"lat35.75lon-88.25"
-85.25,35.75,"lat35.75lon-85.25"
-84.25,35.75,"lat35.75lon-84.25"
-81.25,35.75,"lat35.75lon-81.25"
-79.25,35.75,"lat35.75lon-79.25"
-78.25,35.75,"lat35.75lon-78.25"
-99.25,38.75,"lat38.75lon-99.25"
-96.25,38.75,"lat38.75lon-96.25"
-94.25,38.75,"lat38.75lon-94.25"
-93.25,38.75,"lat38.75lon-93.25"
-91.25,38.75,"lat38.75lon-91.25"
-90.25,38.75,"lat38.75lon-90.25"
-88.25,38.75,"lat38.75lon-88.25"
-85.25,38.75,"lat38.75lon-85.25"
-84.25,38.75,"lat38.75lon-84.25"
-81.25,38.75,"lat38.75lon-81.25"
-79.25,38.75,"lat38.75lon-79.25"
-78.25,38.75,"lat38.75lon-78.25"
-76.25,38.75,"lat38.75lon-76.25"
-75.25,38.75,"lat38.75lon-75.25"
-99.25,40.75,"lat40.75lon-99.25"
-96.25,40.75,"lat40.75lon-96.25"
-94.25,40.75,"lat40.75lon-94.25"
-93.25,40.75,"lat40.75lon-93.25"
-91.25,40.75,"lat40.75lon-91.25"
-90.25,40.75,"lat40.75lon-90.25"
-88.25,40.75,"lat40.75lon-88.25"
-85.25,40.75,"lat40.75lon-85.25"
-84.25,40.75,"lat40.75lon-84.25"
-81.25,40.75,"lat40.75lon-81.25"
-79.25,40.75,"lat40.75lon-79.25"
-78.25,40.75,"lat40.75lon-78.25"
-76.25,40.75,"lat40.75lon-76.25"
-75.25,40.75,"lat40.75lon-75.25"
-99.25,41.75,"lat41.75lon-99.25"
-96.25,41.75,"lat41.75lon-96.25"
-94.25,41.75,"lat41.75lon-94.25"
-93.25,41.75,"lat41.75lon-93.25"
-91.25,41.75,"lat41.75lon-91.25"
-90.25,41.75,"lat41.75lon-90.25"
-88.25,41.75,"lat41.75lon-88.25"
-85.25,41.75,"lat41.75lon-85.25"
-84.25,41.75,"lat41.75lon-84.25"
-81.25,41.75,"lat41.75lon-81.25"
-79.25,41.75,"lat41.75lon-79.25"
-78.25,41.75,"lat41.75lon-78.25"
-76.25,41.75,"lat41.75lon-76.25"
-75.25,41.75,"lat41.75lon-75.25"
-73.25,41.75,"lat41.75lon-73.25"
-99.25,43.75,"lat43.75lon-99.25"
-96.25,43.75,"lat43.75lon-96.25"
-94.25,43.75,"lat43.75lon-94.25"
-93.25,43.75,"lat43.75lon-93.25"
-91.25,43.75,"lat43.75lon-91.25"
-90.25,43.75,"lat43.75lon-90.25"
-88.25,43.75,"lat43.75lon-88.25"
-85.25,43.75,"lat43.75lon-85.25"
-84.25,43.75,"lat43.75lon-84.25"
-81.25,43.75,"lat43.75lon-81.25"
-79.25,43.75,"lat43.75lon-79.25"
-76.25,43.75,"lat43.75lon-76.25"
-75.25,43.75,"lat43.75lon-75.25"
-73.25,43.75,"lat43.75lon-73.25"
-99.25,44.75,"lat44.75lon-99.25"
-96.25,44.75,"lat44.75lon-96.25"
-94.25,44.75,"lat44.75lon-94.25"
-93.25,44.75,"lat44.75lon-93.25"
-91.25,44.75,"lat44.75lon-91.25"
-90.25,44.75,"lat44.75lon-90.25"
-88.25,44.75,"lat44.75lon-88.25"
-85.25,44.75,"lat44.75lon-85.25"
-84.25,44.75,"lat44.75lon-84.25"
-81.25,44.75,"lat44.75lon-81.25"
-79.25,44.75,"lat44.75lon-79.25"
-78.25,44.75,"lat44.75lon-78.25"
-76.25,44.75,"lat44.75lon-76.25"
-75.25,44.75,"lat44.75lon-75.25"
-73.25,44.75,"lat44.75lon-73.25"
-70.25,44.75,"lat44.75lon-70.25"
-69.25,44.75,"lat44.75lon-69.25"
-99.25,46.75,"lat46.75lon-99.25"
-96.25,46.75,"lat46.75lon-96.25"
-94.25,46.75,"lat46.75lon-94.25"
-93.25,46.75,"lat46.75lon-93.25"
-91.25,46.75,"lat46.75lon-91.25"
-88.25,46.75,"lat46.75lon-88.25"
-85.25,46.75,"lat46.75lon-85.25"
-84.25,46.75,"lat46.75lon-84.25"
-81.25,46.75,"lat46.75lon-81.25"
-79.25,46.75,"lat46.75lon-79.25"
-78.25,46.75,"lat46.75lon-78.25"
-76.25,46.75,"lat46.75lon-76.25"
-75.25,46.75,"lat46.75lon-75.25"
-73.25,46.75,"lat46.75lon-73.25"
-70.25,46.75,"lat46.75lon-70.25"
-69.25,46.75,"lat46.75lon-69.25"
-66.25,46.75,"lat46.75lon-66.25"
-64.25,46.75,"lat46.75lon-64.25"
-99.25,49.75,"lat49.75lon-99.25"
-96.25,49.75,"lat49.75lon-96.25"
-94.25,49.75,"lat49.75lon-94.25"
-93.25,49.75,"lat49.75lon-93.25"
-91.25,49.75,"lat49.75lon-91.25"
-90.25,49.75,"lat49.75lon-90.25"
-85.25,49.75,"lat49.75lon-85.25"
-84.25,49.75,"lat49.75lon-84.25"
-81.25,49.75,"lat49.75lon-81.25"
-79.25,49.75,"lat49.75lon-79.25"
-78.25,49.75,"lat49.75lon-78.25"
-76.25,49.75,"lat49.75lon-76.25"
-75.25,49.75,"lat49.75lon-75.25"
-73.25,49.75,"lat49.75lon-73.25"
-70.25,49.75,"lat49.75lon-70.25"
-69.25,49.75,"lat49.75lon-69.25"
-63.25,49.75,"lat49.75lon-63.25"
-98.25,35.75,"lat35.75lon-98.25"
-97.25,35.75,"lat35.75lon-97.25"
-95.25,35.75,"lat35.75lon-95.25"
-92.25,35.75,"lat35.75lon-92.25"
-89.25,35.75,"lat35.75lon-89.25"
-87.25,35.75,"lat35.75lon-87.25"
-86.25,35.75,"lat35.75lon-86.25"
-83.25,35.75,"lat35.75lon-83.25"
-82.25,35.75,"lat35.75lon-82.25"
-80.25,35.75,"lat35.75lon-80.25"
-77.25,35.75,"lat35.75lon-77.25"
-99.25,36.75,"lat36.75lon-99.25"
-97.25,36.75,"lat36.75lon-97.25"
-96.25,36.75,"lat36.75lon-96.25"
-94.25,36.75,"lat36.75lon-94.25"
-93.25,36.75,"lat36.75lon-93.25"
-91.25,36.75,"lat36.75lon-91.25"
-90.25,36.75,"lat36.75lon-90.25"
-88.25,36.75,"lat36.75lon-88.25"
-87.25,36.75,"lat36.75lon-87.25"
-85.25,36.75,"lat36.75lon-85.25"
-84.25,36.75,"lat36.75lon-84.25"
-82.25,36.75,"lat36.75lon-82.25"
-81.25,36.75,"lat36.75lon-81.25"
-79.25,36.75,"lat36.75lon-79.25"
-78.25,36.75,"lat36.75lon-78.25"
-76.25,36.75,"lat36.75lon-76.25"
-99.25,37.75,"lat37.75lon-99.25"
-98.25,37.75,"lat37.75lon-98.25"
-96.25,37.75,"lat37.75lon-96.25"
-95.25,37.75,"lat37.75lon-95.25"
-94.25,37.75,"lat37.75lon-94.25"
-93.25,37.75,"lat37.75lon-93.25"
-91.25,37.75,"lat37.75lon-91.25"
-90.25,37.75,"lat37.75lon-90.25"
-89.25,37.75,"lat37.75lon-89.25"
-88.25,37.75,"lat37.75lon-88.25"
-86.25,37.75,"lat37.75lon-86.25"
-85.25,37.75,"lat37.75lon-85.25"
-84.25,37.75,"lat37.75lon-84.25"
-83.25,37.75,"lat37.75lon-83.25"
-81.25,37.75,"lat37.75lon-81.25"
-80.25,37.75,"lat37.75lon-80.25"
-79.25,37.75,"lat37.75lon-79.25"
-78.25,37.75,"lat37.75lon-78.25"
-98.25,38.75,"lat38.75lon-98.25"
-97.25,38.75,"lat38.75lon-97.25"
-95.25,38.75,"lat38.75lon-95.25"
-92.25,38.75,"lat38.75lon-92.25"
-89.25,38.75,"lat38.75lon-89.25"
-87.25,38.75,"lat38.75lon-87.25"
-86.25,38.75,"lat38.75lon-86.25"
-83.25,38.75,"lat38.75lon-83.25"
-82.25,38.75,"lat38.75lon-82.25"
-80.25,38.75,"lat38.75lon-80.25"
-77.25,38.75,"lat38.75lon-77.25"
-99.25,39.75,"lat39.75lon-99.25"
-97.25,39.75,"lat39.75lon-97.25"
-96.25,39.75,"lat39.75lon-96.25"
-94.25,39.75,"lat39.75lon-94.25"
-93.25,39.75,"lat39.75lon-93.25"
-91.25,39.75,"lat39.75lon-91.25"
-90.25,39.75,"lat39.75lon-90.25"
-88.25,39.75,"lat39.75lon-88.25"
-87.25,39.75,"lat39.75lon-87.25"
-85.25,39.75,"lat39.75lon-85.25"
-84.25,39.75,"lat39.75lon-84.25"
-82.25,39.75,"lat39.75lon-82.25"
-81.25,39.75,"lat39.75lon-81.25"
-79.25,39.75,"lat39.75lon-79.25"
-78.25,39.75,"lat39.75lon-78.25"
-76.25,39.75,"lat39.75lon-76.25"
-75.25,39.75,"lat39.75lon-75.25"
-98.25,40.75,"lat40.75lon-98.25"
-97.25,40.75,"lat40.75lon-97.25"
-95.25,40.75,"lat40.75lon-95.25"
-92.25,40.75,"lat40.75lon-92.25"
-89.25,40.75,"lat40.75lon-89.25"
-87.25,40.75,"lat40.75lon-87.25"
-86.25,40.75,"lat40.75lon-86.25"
-83.25,40.75,"lat40.75lon-83.25"
-82.25,40.75,"lat40.75lon-82.25"
-80.25,40.75,"lat40.75lon-80.25"
-77.25,40.75,"lat40.75lon-77.25"
-74.25,40.75,"lat40.75lon-74.25"
-98.25,41.75,"lat41.75lon-98.25"
-97.25,41.75,"lat41.75lon-97.25"
-95.25,41.75,"lat41.75lon-95.25"
-92.25,41.75,"lat41.75lon-92.25"
-89.25,41.75,"lat41.75lon-89.25"
-86.25,41.75,"lat41.75lon-86.25"
-83.25,41.75,"lat41.75lon-83.25"
-80.25,41.75,"lat41.75lon-80.25"
-77.25,41.75,"lat41.75lon-77.25"
-74.25,41.75,"lat41.75lon-74.25"
-72.25,41.75,"lat41.75lon-72.25"
-99.25,42.75,"lat42.75lon-99.25"
-96.25,42.75,"lat42.75lon-96.25"
-94.25,42.75,"lat42.75lon-94.25"
-93.25,42.75,"lat42.75lon-93.25"
-91.25,42.75,"lat42.75lon-91.25"
-90.25,42.75,"lat42.75lon-90.25"
-88.25,42.75,"lat42.75lon-88.25"
-85.25,42.75,"lat42.75lon-85.25"
-84.25,42.75,"lat42.75lon-84.25"
-79.25,42.75,"lat42.75lon-79.25"
-78.25,42.75,"lat42.75lon-78.25"
-76.25,42.75,"lat42.75lon-76.25"
-75.25,42.75,"lat42.75lon-75.25"
-73.25,42.75,"lat42.75lon-73.25"
-98.25,43.75,"lat43.75lon-98.25"
-97.25,43.75,"lat43.75lon-97.25"
-95.25,43.75,"lat43.75lon-95.25"
-92.25,43.75,"lat43.75lon-92.25"
-89.25,43.75,"lat43.75lon-89.25"
-86.25,43.75,"lat43.75lon-86.25"
-83.25,43.75,"lat43.75lon-83.25"
-80.25,43.75,"lat43.75lon-80.25"
-74.25,43.75,"lat43.75lon-74.25"
-72.25,43.75,"lat43.75lon-72.25"
-71.25,43.75,"lat43.75lon-71.25"
-98.25,44.75,"lat44.75lon-98.25"
-97.25,44.75,"lat44.75lon-97.25"
-95.25,44.75,"lat44.75lon-95.25"
-92.25,44.75,"lat44.75lon-92.25"
-89.25,44.75,"lat44.75lon-89.25"
-77.25,44.75,"lat44.75lon-77.25"
-74.25,44.75,"lat44.75lon-74.25"
-72.25,44.75,"lat44.75lon-72.25"
-71.25,44.75,"lat44.75lon-71.25"
-68.25,44.75,"lat44.75lon-68.25"
-65.25,44.75,"lat44.75lon-65.25"
-99.25,45.75,"lat45.75lon-99.25"
-97.25,45.75,"lat45.75lon-97.25"
-96.25,45.75,"lat45.75lon-96.25"
-94.25,45.75,"lat45.75lon-94.25"
-93.25,45.75,"lat45.75lon-93.25"
-91.25,45.75,"lat45.75lon-91.25"
-90.25,45.75,"lat45.75lon-90.25"
-88.25,45.75,"lat45.75lon-88.25"
-79.25,45.75,"lat45.75lon-79.25"
-78.25,45.75,"lat45.75lon-78.25"
-76.25,45.75,"lat45.75lon-76.25"
-75.25,45.75,"lat45.75lon-75.25"
-73.25,45.75,"lat45.75lon-73.25"
-72.25,45.75,"lat45.75lon-72.25"
-70.25,45.75,"lat45.75lon-70.25"
-69.25,45.75,"lat45.75lon-69.25"
-67.25,45.75,"lat45.75lon-67.25"
-66.25,45.75,"lat45.75lon-66.25"
-64.25,45.75,"lat45.75lon-64.25"
-63.25,45.75,"lat45.75lon-63.25"
-98.25,46.75,"lat46.75lon-98.25"
-97.25,46.75,"lat46.75lon-97.25"
-95.25,46.75,"lat46.75lon-95.25"
-92.25,46.75,"lat46.75lon-92.25"
-89.25,46.75,"lat46.75lon-89.25"
-83.25,46.75,"lat46.75lon-83.25"
-82.25,46.75,"lat46.75lon-82.25"
-80.25,46.75,"lat46.75lon-80.25"
-77.25,46.75,"lat46.75lon-77.25"
-74.25,46.75,"lat46.75lon-74.25"
-72.25,46.75,"lat46.75lon-72.25"
-71.25,46.75,"lat46.75lon-71.25"
-68.25,46.75,"lat46.75lon-68.25"
-67.25,46.75,"lat46.75lon-67.25"
-65.25,46.75,"lat46.75lon-65.25"
-99.25,47.75,"lat47.75lon-99.25"
-98.25,47.75,"lat47.75lon-98.25"
-96.25,47.75,"lat47.75lon-96.25"
-95.25,47.75,"lat47.75lon-95.25"
-94.25,47.75,"lat47.75lon-94.25"
-93.25,47.75,"lat47.75lon-93.25"
-91.25,47.75,"lat47.75lon-91.25"
-84.25,47.75,"lat47.75lon-84.25"
-83.25,47.75,"lat47.75lon-83.25"
-81.25,47.75,"lat47.75lon-81.25"
-80.25,47.75,"lat47.75lon-80.25"
-79.25,47.75,"lat47.75lon-79.25"
-78.25,47.75,"lat47.75lon-78.25"
